date,SJC_GOLD_VND,EXRATE_VNDPUSD,GOLD_W_USD,CPI,IR,lGOLD_SJC,lEXRATE,lGOLD_W,lCPI,dlGOLD_SJC,dlEXRATE,dlGOLD_W,dlCPI,dIR,D_covid,D_sbv24
2015-01-01,34900000.0,21311.7,1278.5,100.0,6.5,17.367997387172654,9.967011496664464,7.153442794731241,4.605170185988092,,,,,,0,0
2015-02-01,35100000.0,21276.05,1246.4666748046875,100.05244851404515,6.5,17.373711688436096,9.96533730592525,7.128068167591936,4.605694533634285,0.005714301263441968,-0.0016741907392141542,-0.02537462713930516,0.0005243476461931351,0.0,0,0
2015-03-01,34700000.0,21413.18181818182,1214.433349609375,100.10492453655657,6.5,17.36225024491709,9.971761984188793,7.102032868063849,4.606218881280479,-0.01146144351900702,0.006424678263543981,-0.02603529952808703,0.0005243476461940233,0.0,0,0
2015-04-01,34400000.0,21565.954545454544,1182.4000244140625,100.15742808196201,6.5,17.353567122343627,9.978871171745025,7.075301570841825,4.606743228926673,-0.008683122573462043,0.007109187556231689,-0.02673129722202372,0.0005243476461940233,0.0,0,0
2015-05-01,34500000.0,21720.238095238095,1189.4000244140625,100.20995916469684,6.5,17.356469882001587,9.985999736015327,7.081204277798862,4.607267576572867,0.0029027596579602744,0.007128564270301396,0.005902706957036763,0.0005243476461940233,0.0,0,0
2015-06-01,34100000.0,21784.227272727272,1171.5,100.26251779920398,6.5,17.344807942253745,9.988941467310891,7.066040257947851,4.607791924219061,-0.011661939747842354,0.0029417312955644093,-0.015164019851011012,0.0005243476461940233,0.0,0,0
2015-07-01,33800000.0,21803.956521739132,1094.9000244140625,100.31510399993392,6.5,17.335971360453247,9.989846724132429,6.998418336177362,4.608316271865255,-0.008836581800498067,0.0009052568215377477,-0.06762192177048831,0.0005243476461940233,0.0,0,0
2015-08-01,32500000.0,22158.761904761905,1131.5999755859375,100.36771778134474,6.5,17.296750647299966,10.005988268576653,7.031387817852595,4.608840619511449,-0.039220713153280684,0.01614154444422411,0.032969481675232615,0.0005243476461940233,0.0,0,0
2015-09-01,33200000.0,22478.68181818182,1115.5,100.42035915790208,6.5,17.318060433886718,10.020322664307118,7.017058013872587,4.609364967157643,0.021309786586751756,0.014334395730465133,-0.014329803980007938,0.0005243476461940233,0.0,0,0
2015-10-01,33800000.0,22353.909090909092,1141.5,100.47302814407921,6.5,17.335971360453247,10.014756488144279,7.04009846596985,4.609889314803837,0.01791092656652893,-0.005566176162838943,0.023040452097262687,0.0005243476461940233,0.0,0,0
2015-11-01,33100000.0,22414.47619047619,1100.9000244140625,100.52572475435694,6.5,17.31504384034729,10.017462287611432,7.003883328252815,4.610413662450031,-0.020927520105956887,0.0027057994671526586,-0.03621513771703455,0.0005243476461940233,0.0,0,0
2015-12-01,33400000.0,22494.695652173912,1060.300048828125,100.57844900322372,6.5,17.32406645794693,10.021034811607127,6.966307211982987,4.610938010096225,0.009022617599640625,0.003572523995694965,-0.03757611626982804,0.0005243476461940233,0.0,0,0
2016-01-01,33600000.0,22376.47619047619,1116.4000244140625,100.79939995582009,6.5,17.33003662493343,10.015765515960151,7.017864523530728,4.613132402800305,0.005970166986500658,-0.005269295646975536,0.051557311547741236,0.0021943927040801725,0.0,0,0
2016-02-01,35500000.0,22281.761904761905,1233.9000244140625,101.02083629394326,6.5,17.385043254445645,10.011523771020563,7.117935183690583,4.6153267955043855,0.05500662951221358,-0.004241744939587733,0.10007066015985444,0.0021943927040801725,0.0,0,0
2016-03-01,36300000.0,22276.043478260868,1234.199951171875,101.24275908388918,6.5,17.40732829923508,10.01126709650604,7.118178226324395,4.617521188208466,0.022285044789434494,-0.0002566745145227145,0.00024304263381225155,0.0021943927040801725,0.0,0,0
2016-04-01,36600000.0,22269.380952380954,1289.199951171875,101.46516939429627,6.5,17.415558798371595,10.010967962486566,7.161777112066535,4.619715580912546,0.0082304991365163,-0.0002991340194746783,0.04359888574213944,0.0021943927040801725,0.0,0,0
2016-05-01,37000000.0,22286.5,1303.7999877929688,101.68806829615052,6.5,17.4264284706085,10.011736392965124,7.1730383471277825,4.621909973616626,0.010869672236903938,0.0007684304785584573,0.011261235061247987,0.0021943927040801725,0.0,0,0
2016-06-01,37900000.0,22314.18181818182,1318.4000244140625,101.91145686279067,6.5,17.450461670052654,10.012977711286185,7.184174177673155,4.624104366320706,0.024033199444154718,0.0012413183210604473,0.011135830545372372,0.0021943927040801725,0.0,0,0
2016-07-01,36300000.0,22278.47619047619,1349.0,102.13533616991337,6.5,17.40732829923508,10.011376298097073,7.207118856207756,4.626298759024786,-0.043133370817574956,-0.0016014131891122219,0.022944678534600804,0.0021943927040801725,0.0,0,0
2016-08-01,36700000.0,22268.652173913044,1306.9000244140625,102.35970729557837,6.5,17.4182873130248,10.010935236368377,7.175413218283886,4.6284931517288666,0.010959013789719307,-0.00044106172869540217,-0.03170563792386982,0.0021943927040801725,0.0,0,0
2016-09-01,36700000.0,22275.863636363636,1313.300048828125,102.5845713202137,6.5,17.4182873130248,10.011259023141335,7.180298369770832,4.630687544432948,0.0,0.00032378677295774594,0.004885151486946349,0.0021943927040810607,0.0,0,0
2016-10-01,35600000.0,22275.714285714286,1271.5,102.80992932662087,6.5,17.38785619582226,10.011252318523617,7.147952584862174,4.632881937137028,-0.030431117202539326,-6.704617717900874e-06,-0.03234578490865836,0.0021943927040801725,0.0,0,0
2016-11-01,33700000.0,22429.954545454544,1170.800048828125,103.0357823999801,6.5,17.33300839532259,10.018152601005493,7.0654425965226535,4.635076329841108,-0.054847800499668864,0.006900282481876019,-0.08250998833952039,0.0021943927040801725,0.0,0,0
2016-12-01,34300000.0,22716.863636363636,1150.0,103.26213162785554,6.5,17.35065591213617,10.030862819131977,7.047517221357296,4.637270722545188,0.01764751681357879,0.012710218126484207,-0.017925375165357416,0.0021943927040801725,0.0,0,0
2017-01-01,35900000.0,22601.863636363636,1201.2999877929688,103.56027562733394,6.5,17.396247853458508,10.025787643646593,7.091159572565812,4.640153816402911,0.045591941322339125,-0.005075175485384165,0.043642351208515784,0.002883093857723118,0.0,0,0
2017-02-01,36100000.0,22714.05,1252.5999755859375,103.85928044425842,6.5,17.40180342330311,10.03073895473472,7.132976650600603,4.643036910260635,0.0055555698446028146,0.004951311088126076,0.041817078034791066,0.002883093857724006,0.0,0,0
2017-03-01,35700000.0,22788.08695652174,1247.300048828125,104.15914856402757,6.5,17.39066124674987,10.033993176483902,7.128736533278721,4.645920004118358,-0.011142176553242678,0.003254221749182662,-0.004240117321882231,0.002883093857723118,0.0,0,0
2017-04-01,36400000.0,22682.6,1266.0999755859375,104.45988247921596,6.5,17.41007933260697,10.029353389719175,7.143696569243321,4.6488030979760815,0.01941808585710092,-0.004639786764727205,0.014960035964600493,0.002883093857723118,0.0,0,0
2017-05-01,36300000.0,22683.391304347828,1272.0,104.76148468959485,6.5,17.40732829923508,10.029388275073828,7.148345743900068,4.651686191833805,-0.002751033371890088,3.488535465301368e-05,0.004649174656746524,0.002883093857723118,0.0,0,0
2017-06-01,36600000.0,22695.227272727272,1240.699951171875,105.06395770215298,6.5,17.415558798371595,10.029909929060617,7.1234309760935215,4.654569285691529,0.0082304991365163,0.0005216539867891612,-0.024914767806546223,0.002883093857724006,0.0,0,0
2017-07-01,36600000.0,22716.190476190477,1266.5999755859375,105.36730403111738,6.25,17.415558798371595,10.030833186073565,7.144091404807055,4.657452379549252,0.0,0.0009232570129480422,0.020660428713533463,0.002883093857723118,-0.25,0,0
2017-08-01,37700000.0,22726.652173913044,1316.199951171875,105.67152619797433,6.25,17.445170652418238,10.031293619325416,7.182504038924217,4.660335473406975,0.02961185404664235,0.0004604332518507448,0.03841263411716245,0.002883093857723118,0.0,0,0
2017-09-01,37900000.0,22720.666666666668,1281.5,105.97662673149026,6.25,17.450461670052654,10.031030215127602,7.155786545804125,4.663218567264699,0.005291017634416306,-0.0002634041978133439,-0.026717493120091973,0.002883093857724006,0.0,0,0
2017-10-01,37200000.0,22714.727272727272,1277.3499755859375,106.28260816773279,6.0,17.431819319243374,10.030768771637923,7.152542879241162,4.666101661122422,-0.018642350809280117,-0.00026144348967882536,-0.0032436665629633765,0.002883093857723118,-0.25,0,0
2017-11-01,37300000.0,22705.636363636364,1273.199951171875,106.58947305009181,6.0,17.434503884614045,10.030368470606208,7.149288657057226,4.668984754980145,0.002684565370671521,-0.000400301031715955,-0.0032542221839362284,0.002883093857723118,0.0,0,0
2017-12-01,37700000.0,22703.404761904763,1306.300048828125,106.89722392930064,6.0,17.445170652418238,10.030270181733416,7.1749540298714685,4.671867848837869,0.01066676780419229,-9.828887279184073e-05,0.025665372814242637,0.002883093857724006,0.0,0,0
2018-01-01,37400000.0,22703.434782608696,1339.0,107.20753495663065,6.0,17.43718126238476,10.03027150403218,7.199678345691172,4.674766534941101,-0.007989390033475985,1.3222987647054651e-06,0.02472431581970369,0.002898686103232073,0.0,0,0
2018-02-01,37700000.0,22708.1,1315.5,107.5187467831596,6.0,17.445170652418238,10.030476968015288,7.181972100480348,4.677665221044333,0.007989390033475985,0.0002054639831072791,-0.017706245210824534,0.002898686103232073,0.0,0,0
2018-03-01,37400000.0,22776.75,1322.800048828125,107.83086202380967,6.0,17.43718126238476,10.03349555781508,7.187506018020341,4.680563907147566,-0.007989390033475985,0.003018589799792082,0.005533917539993105,0.0028986861032329614,0.0,0,0
2018-04-01,37200000.0,22782.380952380954,1311.4500122070312,108.14388330109392,6.0,17.431819319243374,10.033742750959107,7.178888683603051,4.683462593250798,-0.005361943141387826,0.0002471931440268804,-0.008617334417289513,0.002898686103232073,0.0,0,0
2018-05-01,37200000.0,22779.130434782608,1300.0999755859375,108.45781324513825,6.0,17.431819319243374,10.033600063962785,7.17019644478952,4.68636127935403,0.0,-0.00014268699632147275,-0.008692238813531539,0.002898686103232073,0.0,0,0
2018-06-01,36700000.0,22851.0,1251.300048828125,108.77265449370356,6.0,17.4182873130248,10.036750159040897,7.131938328892926,4.689259965457263,-0.013532006218575532,0.0031500950781122583,-0.03825811589659356,0.0028986861032329614,0.0,0,0
2018-07-01,36700000.0,23100.090909090908,1225.800048828125,109.08840969220785,6.0,17.4182873130248,10.047591831960622,7.111349010885311,4.692158651560495,0.0,0.010841672919724488,-0.0205893180076151,0.002898686103232073,0.0,0,0
2018-08-01,36900000.0,23293.08695652174,1200.300048828125,109.40508149374851,6.0,17.423722109010754,10.055911898385496,7.090326845211233,4.6950573376637275,0.005434795985955532,0.008320066424873929,-0.02102216567407833,0.002898686103232073,0.0,0,0
2018-09-01,36500000.0,23307.9,1191.5,109.72267255912456,6.0,17.41282281855272,10.056547637881357,7.082968296538797,4.6979560237669595,-0.010899290458034727,0.0006357394958609319,-0.007358548672435461,0.002898686103232073,0.0,0,0
2018-10-01,36600000.0,23343.565217391304,1212.300048828125,110.04118555685906,6.0,17.415558798371595,10.058076645563045,7.100274701029799,4.7008547098701925,0.0027359798188761886,0.001529007681687844,0.01730640449100207,0.0028986861032329614,0.0,0,0
2018-11-01,37800000.0,23324.81818181818,1220.199951171875,110.36062316322148,6.0,17.447819660589815,10.057273230693445,7.106770018701258,4.703753395973425,0.032260862218219444,-0.0008034148695994503,0.0064953176714590555,0.002898686103232073,0.0,0,0
2018-12-01,37200000.0,23283.714285714286,1278.300048828125,110.6809880622502,6.0,17.431819319243374,10.055509437474313,7.153286387371679,4.7066520820766575,-0.016000341346440905,-0.0017637932191316708,0.04651636867042086,0.0028986861032329614,0.0,0,0
